NO_SR|NOM_SR|LOCALISATN|ARROND|LONGITUDE|LATITUDE
R0773|Module de jeu École primaire de l'Arc-en-ciel|Pacifique, 570 Rue|6|-71.372466|46.892012
R0774|Module de jeu Parc du Millénaire|Jurançon, 6805 Rue de|6|-71.314940|46.869054
R0775|Module de jeu Parc des Vignobles|Girondas, 1005 Rue du|6|-71.317187|46.867572
R0779|Module de jeu École primaire de la Source|Étudiants, 204 Boulevard des|6|-71.370593|46.850913
R0780|Module de jeu École primaire de l'Aventure|Johnny-Parent, 40 Boulevard|6|-71.356209|46.846010
R0782|Balançoire Parc Antoine-Martin|Antoine-Martin, Rue / face au 4148|3|-71.354586|46.760979
R0784|Module de jeu École primaire Marguerite-d'Youville|Provancher, 1473 Rue|3|-71.343041|46.750143
R0785|Module de jeu Îlot des Quatre-Vents|Quatre-Vents, Rue des / face au 1440|3|-71.368813|46.737976
R0786|Module de jeu Parc Doré|Doré, 4299 Rue|3|-71.347839|46.746500
R0788|Module de jeu École primaire l'Arbrisseau|Promenade-des-Soeurs, 4675 Rue de la|3|-71.363809|46.746659
R0790|Module de jeu Parc du Plateau|Promenade-des-Soeurs, 4575 Rue de la|3|-71.365315|46.746693
R0791|Module de jeu École primaire Les Sources|Robert-L.-Séguin, 1181 Avenue|3|-71.362507|46.765931
R0792|Module de jeu École primaire Jouvence|Saint-Yves, 215 Rue|3|-71.380881|46.765494
R0805|Module de jeu NORD Parc Adagio|Adagio, Rue / face au 1290|6|-71.405136|46.837816
R0806|Module de jeu SUD Parc Adagio|Adagio, Rue / face au 1290|6|-71.405003|46.837664
R0813|Module de jeu Parc de l'Estérel (PROJETÉ)|Estérel, Rue de l'|6|-71.432435|46.861491
R0818|Module de jeu NORD Parc Fénelon|Fénelon, 1260 Rue / coin N-E du parc, près de la rue|3|-71.367548|46.815715
R0819|Module de jeu CENTRAL Parc Fénelon|Fénelon, 1260 Rue / au centre du parc près du pavillon|3|-71.367454|46.815527
R0826|Module de jeu N-E Parc René-Robitaille|Robitaille, Rue / à l'Ouest du 2215, coin nord-est du parc|2|-71.303743|46.819329
R0827|Module de jeu S-E Parc René-Robitaille|Robitaille, Rue / à l'Ouest du 2215, coin sud-est du parc|2|-71.303688|46.819141
R0828|Module de jeu S-O Parc René-Robitaille|Robitaille, Rue / à l'Est du 2325, coin sud-ouest du parc|2|-71.304330|46.819100
R0829|Module de jeu CENTRAL Parc René-Robitaille|Robitaille, Rue / à l'Est du 2325, au centre du parc|2|-71.304055|46.819165
R0839|Module de jeu Parc Onésime-Voyer|Onésime-Voyer, 1284 Rue|3|-71.358009|46.749816
R0844|Module de jeu Parc Henri-Casault|4e Ouest, 5395 Avenue|4|-71.263191|46.844986
R0863|Module de jeu Parc Jean-Guyon|Sablonnières, 153 Avenue des / côté Est du parc|5|-71.196476|46.906649
R0865|Module de jeu N-E Parc Forain|Forain, Rue / face au 1356|5|-71.202970|46.921426
R0866|Module de jeu Parc Saint-Joseph|Harfang, Rue du / face au 3123|5|-71.217918|46.873644
R0868|Module de jeu Parc Joseph-Tardif (PROJETÉ)|Saint-Jude, Rue / face au 595|2|-71.304817|46.800825
